2026-04-12 23:43:11 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:11 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:11 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:11 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:11 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:11 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:11 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:11 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:11 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:11 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:12 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:12 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:12 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:12 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:12 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:12 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:12 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:12 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:12 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:12 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:12 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:12 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:12 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:12 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:12 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:13 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:13 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:13 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:13 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:13 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:13 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:13 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:13 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:13 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:13 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:13 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:13 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:13 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:13 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:14 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:14 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:14 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:14 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:14 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:14 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:14 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:14 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:14 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:14 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:14 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:14 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:14 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:14 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:14 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:15 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:15 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:15 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:15 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:15 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:15 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:15 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:15 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:15 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:15 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:15 | ERROR    | vision.detection          | YOLO inference error: 'PersonDetector' object has no attribute '_model'
2026-04-12 23:43:15 | INFO     | vision.detection          | YOLOv8 model loaded successfully.
2026-04-12 23:43:15 | INFO     | vision.tracking           | PersonTracker initialised (DeepSORT).
2026-04-12 23:43:15 | INFO     | logic.behavior            | BehaviorEngine initialised.
2026-04-12 23:43:15 | INFO     | logic.rule_engine         | Rules loaded: 4 rules from D:\SaaS\AI Surveillance System\backend\data\rules.json
2026-04-12 23:43:15 | INFO     | services.gemini           | Gemini model 'gemini-1.5-flash' initialised.
2026-04-12 23:43:15 | INFO     | services.alert            | AlertService initialised.
2026-04-12 23:43:15 | INFO     | backend.app               | All engines ready.
2026-04-12 23:43:16 | INFO     | vision.tracking           | PersonTracker reset.
2026-04-12 23:43:16 | INFO     | logic.behavior            | BehaviorEngine reset.
2026-04-12 23:43:16 | INFO     | backend.app               | Detection loop started (source=<VideoSource source='D:\\SaaS\\AI Surveillance System\\videos\\normal.mp4' fps=15>).
2026-04-12 23:43:16 | INFO     | backend.app               | System started (mode=file, source=normal.mp4).
2026-04-12 23:43:16 | ERROR    | services.gemini           | Gemini API error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-12 23:44:16 | ERROR    | services.gemini           | Gemini API error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-12 23:44:57 | DEBUG    | vision.video_input        | Video file rewound to start.
2026-04-12 23:45:16 | ERROR    | services.gemini           | Gemini API error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-12 23:45:19 | DEBUG    | vision.video_input        | Video file rewound to start.
2026-04-12 23:58:06 | INFO     | backend.app               | Starting Flask API on 0.0.0.0:5050
2026-04-12 23:58:42 | INFO     | vision.video_input        | Opened video source 'D:\SaaS\AI Surveillance System\videos\crowded.mp4' | 960x540 @ 20.0 fps
2026-04-12 23:58:42 | INFO     | backend.app               | Initialising detection engines …
2026-04-12 23:58:47 | INFO     | vision.detection          | Loading YOLOv8 model from: D:\SaaS\AI Surveillance System\models\yolov8n.pt
2026-04-12 23:58:47 | INFO     | vision.detection          | YOLOv8 model loaded successfully.
2026-04-12 23:58:47 | INFO     | vision.tracking           | PersonTracker initialised (DeepSORT).
2026-04-12 23:58:47 | INFO     | logic.behavior            | BehaviorEngine initialised.
2026-04-12 23:58:47 | INFO     | logic.rule_engine         | Rules loaded: 4 rules from D:\SaaS\AI Surveillance System\backend\data\rules.json
2026-04-12 23:58:47 | INFO     | services.gemini           | Gemini model 'gemini-1.5-flash' initialised.
2026-04-12 23:58:47 | INFO     | services.alert            | AlertService initialised.
2026-04-12 23:58:47 | INFO     | backend.app               | All engines ready.
2026-04-12 23:58:47 | INFO     | vision.tracking           | PersonTracker reset.
2026-04-12 23:58:47 | INFO     | logic.behavior            | BehaviorEngine reset.
2026-04-12 23:58:47 | INFO     | backend.app               | Detection loop started (source=<VideoSource source='D:\\SaaS\\AI Surveillance System\\videos\\crowded.mp4' fps=15>).
2026-04-12 23:58:47 | INFO     | backend.app               | System started (mode=file, source=crowded.mp4).
2026-04-12 23:58:48 | ERROR    | services.gemini           | Gemini API error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-12 23:59:30 | DEBUG    | vision.video_input        | Video file rewound to start.
2026-04-12 23:59:48 | ERROR    | services.gemini           | Gemini API error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-13 00:00:15 | DEBUG    | vision.video_input        | Video file rewound to start.
2026-04-13 00:00:48 | ERROR    | services.gemini           | Gemini API error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-13 00:00:56 | DEBUG    | vision.video_input        | Video file rewound to start.
2026-04-13 00:01:36 | DEBUG    | vision.video_input        | Video file rewound to start.
2026-04-13 00:02:03 | INFO     | backend.app               | Starting Flask API on 0.0.0.0:5050
2026-04-13 00:02:18 | INFO     | vision.video_input        | Opened video source 'D:\SaaS\AI Surveillance System\videos\normal.mp4' | 960x540 @ 20.0 fps
2026-04-13 00:02:18 | INFO     | backend.app               | Initialising detection engines …
2026-04-13 00:02:22 | INFO     | vision.detection          | Loading YOLOv8 model from: D:\SaaS\AI Surveillance System\models\yolov8n.pt
2026-04-13 00:02:22 | INFO     | vision.detection          | YOLOv8 model loaded successfully.
2026-04-13 00:02:22 | INFO     | vision.tracking           | PersonTracker initialised (DeepSORT).
2026-04-13 00:02:22 | INFO     | logic.behavior            | BehaviorEngine initialised.
2026-04-13 00:02:22 | INFO     | logic.rule_engine         | Rules loaded: 4 rules from D:\SaaS\AI Surveillance System\backend\data\rules.json
2026-04-13 00:02:22 | INFO     | services.gemini           | Gemini model 'gemini-2.5-flash' initialised.
2026-04-13 00:02:22 | INFO     | services.alert            | AlertService initialised.
2026-04-13 00:02:22 | INFO     | backend.app               | All engines ready.
2026-04-13 00:02:22 | INFO     | vision.tracking           | PersonTracker reset.
2026-04-13 00:02:22 | INFO     | logic.behavior            | BehaviorEngine reset.
2026-04-13 00:02:22 | INFO     | backend.app               | Detection loop started (source=<VideoSource source='D:\\SaaS\\AI Surveillance System\\videos\\normal.mp4' fps=15>).
2026-04-13 00:02:22 | INFO     | backend.app               | System started (mode=file, source=normal.mp4).
2026-04-13 00:02:25 | DEBUG    | services.gemini           | Gemini response (len=255): The surveillance system has just come online with 0.0 minutes uptime, reporting …
2026-04-13 00:03:09 | DEBUG    | vision.video_input        | Video file rewound to start.
2026-04-13 00:03:24 | DEBUG    | services.gemini           | Gemini response (len=347): The surveillance system has just initiated operations and currently reports no i…
2026-04-13 00:03:51 | DEBUG    | vision.video_input        | Video file rewound to start.
2026-04-13 00:04:25 | DEBUG    | services.gemini           | Gemini response (len=259): The surveillance system is operational with 2 minutes of uptime, currently detec…
2026-04-13 00:04:40 | INFO     | vision.video_input        | VideoCapture released for source: D:\SaaS\AI Surveillance System\videos\normal.mp4
2026-04-13 00:04:40 | INFO     | backend.app               | Detection loop finished. Total frames: 1778
2026-04-13 00:04:40 | INFO     | backend.app               | System stopped by API request.
2026-04-13 00:04:43 | INFO     | vision.video_input        | Opened video source 'D:\SaaS\AI Surveillance System\videos\normal.mp4' | 960x540 @ 20.0 fps
2026-04-13 00:04:43 | INFO     | backend.app               | Initialising detection engines …
2026-04-13 00:04:43 | INFO     | vision.tracking           | PersonTracker initialised (DeepSORT).
2026-04-13 00:04:43 | INFO     | logic.behavior            | BehaviorEngine initialised.
2026-04-13 00:04:43 | INFO     | logic.rule_engine         | Rules loaded: 4 rules from D:\SaaS\AI Surveillance System\backend\data\rules.json
2026-04-13 00:04:43 | INFO     | services.gemini           | Gemini model 'gemini-2.5-flash' initialised.
2026-04-13 00:04:43 | INFO     | services.alert            | AlertService initialised.
2026-04-13 00:04:43 | INFO     | backend.app               | All engines ready.
2026-04-13 00:04:44 | INFO     | vision.tracking           | PersonTracker reset.
2026-04-13 00:04:44 | INFO     | logic.behavior            | BehaviorEngine reset.
2026-04-13 00:04:44 | INFO     | backend.app               | Detection loop started (source=<VideoSource source='D:\\SaaS\\AI Surveillance System\\videos\\normal.mp4' fps=15>).
2026-04-13 00:04:44 | INFO     | backend.app               | System started (mode=file, source=normal.mp4).
2026-04-13 00:04:47 | DEBUG    | services.gemini           | Gemini response (len=342): The surveillance system has just initialized, indicated by 0.0 minutes of uptime…
2026-04-13 00:05:10 | INFO     | vision.video_input        | VideoCapture released for source: D:\SaaS\AI Surveillance System\videos\normal.mp4
2026-04-13 00:05:10 | INFO     | backend.app               | Detection loop finished. Total frames: 198
2026-04-13 00:05:10 | INFO     | backend.app               | System stopped by API request.
2026-04-13 00:05:35 | INFO     | backend.app               | System stopped by API request.
2026-04-13 00:07:49 | INFO     | backend.app               | System stopped by API request.
2026-04-13 00:09:23 | INFO     | backend.app               | System stopped by API request.
2026-04-13 00:11:42 | INFO     | backend.app               | System stopped by API request.
2026-04-13 00:11:44 | INFO     | vision.video_input        | Opened video source 'D:\SaaS\AI Surveillance System\videos\WhatsApp Video 2026-04-13 at 12.05.21 AM.mp4' | 478x850 @ 60.0 fps
2026-04-13 00:11:44 | INFO     | backend.app               | Initialising detection engines …
2026-04-13 00:11:45 | INFO     | vision.tracking           | PersonTracker initialised (DeepSORT).
2026-04-13 00:11:45 | INFO     | logic.behavior            | BehaviorEngine initialised.
2026-04-13 00:11:45 | INFO     | logic.rule_engine         | Rules loaded: 4 rules from D:\SaaS\AI Surveillance System\backend\data\rules.json
2026-04-13 00:11:45 | INFO     | services.gemini           | Gemini model 'gemini-2.5-flash' initialised.
2026-04-13 00:11:45 | INFO     | services.alert            | AlertService initialised.
2026-04-13 00:11:45 | INFO     | backend.app               | All engines ready.
2026-04-13 00:11:45 | INFO     | vision.tracking           | PersonTracker reset.
2026-04-13 00:11:45 | INFO     | logic.behavior            | BehaviorEngine reset.
2026-04-13 00:11:45 | INFO     | backend.app               | Detection loop started (source=<VideoSource source='D:\\SaaS\\AI Surveillance System\\videos\\WhatsApp Video 2026-04-13 at 12.05.21 AM.mp4' fps=15>).
2026-04-13 00:11:45 | INFO     | backend.app               | System started (mode=file, source=WhatsApp Video 2026-04-13 at 12.05.21 AM.mp4).
2026-04-13 00:11:47 | DEBUG    | services.gemini           | Gemini response (len=217): The surveillance system has just initiated operations and is currently reporting…
2026-04-13 00:11:57 | DEBUG    | vision.tracking           | New track: ID=1
2026-04-13 00:11:59 | DEBUG    | services.gemini           | Gemini response (len=176): A single individual has just breached a restricted zone. Immediately dispatch se…
2026-04-13 00:11:59 | WARNING  | services.alert            | ALERT dispatched | type=restricted_zone | count=1 | Restricted zone violation! Person(s) [1] entered the restricted area.
2026-04-13 00:11:59 | WARNING  | services.gemini           | Gemini rate limit reached – skipping call.
2026-04-13 00:11:59 | WARNING  | services.alert            | ALERT dispatched | type=custom | count=1 | Custom rule 'Night Perimeter Watch' triggered: Any presence in restricted zone t
2026-04-13 00:12:05 | INFO     | services.email            | Alert email sent to 4 recipients (type=restricted_zone).
2026-04-13 00:12:05 | DEBUG    | services.email            | Email cooldown active (120s remaining).
2026-04-13 00:12:07 | DEBUG    | vision.tracking           | Track exited: ID=1 duration=9.6s
2026-04-13 00:12:16 | DEBUG    | vision.tracking           | New track: ID=2
2026-04-13 00:12:35 | DEBUG    | services.gemini           | Gemini response (len=256): A restricted zone violation has been detected with Person 2 confirmed inside the…
2026-04-13 00:12:35 | WARNING  | services.alert            | ALERT dispatched | type=restricted_zone | count=1 | Restricted zone violation! Person(s) [2] entered the restricted area.
